😀 e1-0-grinning-face
😃 e0-6-grinning-face-with-big-eyes
😄 e0-6-grinning-face-with-smiling-eyes
😁 e0-6-beaming-face-with-smiling-eyes
😆 e0-6-grinning-squinting-face
😅 e0-6-grinning-face-with-sweat
🤣 e3-0-rolling-on-the-floor-laughing
😂 e0-6-face-with-tears-of-joy
🙂 e1-0-slightly-smiling-face
🙃 e1-0-upside-down-face
🫠 e14-0-melting-face
😉 e0-6-winking-face
😊 e0-6-smiling-face-with-smiling-eyes
😇 e1-0-smiling-face-with-halo
🥰 e11-0-smiling-face-with-hearts
😍 e0-6-smiling-face-with-heart-eyes
🤩 e5-0-star-struck
😘 e0-6-face-blowing-a-kiss
😗 e1-0-kissing-face
☺️ e0-6-smiling-face
😚 e0-6-kissing-face-with-closed-eyes
😙 e1-0-kissing-face-with-smiling-eyes
🥲 e13-0-smiling-face-with-tear
😋 e0-6-face-savoring-food
😛 e1-0-face-with-tongue
😜 e0-6-winking-face-with-tongue
🤪 e5-0-zany-face
😝 e0-6-squinting-face-with-tongue
🤑 e1-0-money-mouth-face
🤗 e1-0-smiling-face-with-open-hands
🤭 e5-0-face-with-hand-over-mouth
🫢 e14-0-face-with-open-eyes-and-hand-over-mouth
🫣 e14-0-face-with-peeking-eye
🤫 e5-0-shushing-face
🤔 e1-0-thinking-face
🫡 e14-0-saluting-face
🤐 e1-0-zipper-mouth-face
🤨 e5-0-face-with-raised-eyebrow
😐 e0-7-neutral-face
😑 e1-0-expressionless-face
😶 e1-0-face-without-mouth
🫥 e14-0-dotted-line-face
😶‍🌫️ e13-1-face-in-clouds
😏 e0-6-smirking-face
😒 e0-6-unamused-face
🙄 e1-0-face-with-rolling-eyes
😬 e1-0-grimacing-face
😮‍💨 e13-1-face-exhaling
🤥 e3-0-lying-face
🫨 e15-0-shaking-face
😌 e0-6-relieved-face
😔 e0-6-pensive-face
😪 e0-6-sleepy-face
🤤 e3-0-drooling-face
😴 e1-0-sleeping-face
😷 e0-6-face-with-medical-mask
🤒 e1-0-face-with-thermometer
🤕 e1-0-face-with-head-bandage
🤢 e3-0-nauseated-face
🤮 e5-0-face-vomiting
🤧 e3-0-sneezing-face
🥵 e11-0-hot-face
🥶 e11-0-cold-face
🥴 e11-0-woozy-face
😵 e0-6-face-with-crossed-out-eyes
🤯 e5-0-exploding-head
🤠 e3-0-cowboy-hat-face
🥳 e11-0-partying-face
🥸 e13-0-disguised-face
😎 e1-0-smiling-face-with-sunglasses
🤓 e1-0-nerd-face
🧐 e5-0-face-with-monocle
😕 e1-0-confused-face
🫤 e14-0-face-with-diagonal-mouth
😟 e1-0-worried-face
🙁 e1-0-slightly-frowning-face
☹️ e0-7-frowning-face
😮 e1-0-face-with-open-mouth
😯 e1-0-hushed-face
😲 e0-6-astonished-face
😳 e0-6-flushed-face
🥺 e11-0-pleading-face
🥹 e14-0-face-holding-back-tears
😦 e1-0-frowning-face-with-open-mouth
😧 e1-0-anguished-face
😨 e0-6-fearful-face
😰 e0-6-anxious-face-with-sweat
😥 e0-6-sad-but-relieved-face
😢 e0-6-crying-face
😭 e0-6-loudly-crying-face
😱 e0-6-face-screaming-in-fear
😖 e0-6-confounded-face
😣 e0-6-persevering-face
😞 e0-6-disappointed-face
😓 e0-6-downcast-face-with-sweat
😩 e0-6-weary-face
😫 e0-6-tired-face
🥱 e12-0-yawning-face
😤 e0-6-face-with-steam-from-nose
😡 e0-6-enraged-face
😠 e0-6-angry-face
🤬 e5-0-face-with-symbols-on-mouth
😈 e1-0-smiling-face-with-horns
👿 e0-6-angry-face-with-horns
💀 e0-6-skull
☠️ e1-0-skull-and-crossbones
💩 e0-6-pile-of-poo
🤡 e3-0-clown-face
👹 e0-6-ogre
👺 e0-6-goblin
👻 e0-6-ghost
👽 e0-6-alien
👾 e0-6-alien-monster
🤖 e1-0-robot
😺 e0-6-grinning-cat
😸 e0-6-grinning-cat-with-smiling-eyes
😹 e0-6-cat-with-tears-of-joy
😻 e0-6-smiling-cat-with-heart-eyes
😼 e0-6-cat-with-wry-smile
😽 e0-6-kissing-cat
🙀 e0-6-weary-cat
😿 e0-6-crying-cat
😾 e0-6-pouting-cat
🙈 e0-6-see-no-evil-monkey
🙉 e0-6-hear-no-evil-monkey
🙊 e0-6-speak-no-evil-monkey
💌 e0-6-love-letter
💘 e0-6-heart-with-arrow
💝 e0-6-heart-with-ribbon
💖 e0-6-sparkling-heart
💗 e0-6-growing-heart
💓 e0-6-beating-heart
💞 e0-6-revolving-hearts
💕 e0-6-two-hearts
💟 e0-6-heart-decoration
❣️ e1-0-heart-exclamation
💔 e0-6-broken-heart
❤️‍🔥 e13-1-heart-on-fire
❤️‍🩹 e13-1-mending-heart
❤️ e0-6-red-heart
🩷 e15-0-pink-heart
🧡 e5-0-orange-heart
💛 e0-6-yellow-heart
💚 e0-6-green-heart
💙 e0-6-blue-heart
🩵 e15-0-light-blue-heart
💜 e0-6-purple-heart
🤎 e12-0-brown-heart
🖤 e3-0-black-heart
🩶 e15-0-grey-heart
🤍 e12-0-white-heart
💋 e0-6-kiss-mark
💯 e0-6-hundred-points
💢 e0-6-anger-symbol
💥 e0-6-collision
💫 e0-6-dizzy
💦 e0-6-sweat-droplets
💨 e0-6-dashing-away
🕳️ e0-7-hole
💬 e0-6-speech-balloon
👁️‍🗨️ e2-0-eye-in-speech-bubble
🗨️ e2-0-left-speech-bubble
🗯️ e0-7-right-anger-bubble
💭 e1-0-thought-balloon
💤 e0-6-zzz
👋 e0-6-waving-hand
🤚 e3-0-raised-back-of-hand
🖐️ e0-7-hand-with-fingers-splayed
🖐🏻 e1-0-hand-with-fingers-splayed-light-skin-tone
🖐🏼 e1-0-hand-with-fingers-splayed-medium-light-skin-tone
🖐🏽 e1-0-hand-with-fingers-splayed-medium-skin-tone
🖐🏾 e1-0-hand-with-fingers-splayed-medium-dark-skin-tone
🖐🏿 e1-0-hand-with-fingers-splayed-dark-skin-tone
✋ e0-6-raised-hand
🖖 e1-0-vulcan-salute
🫱 e14-0-rightwards-hand
🫲 e14-0-leftwards-hand
🫳 e14-0-palm-down-hand
🫴 e14-0-palm-up-hand
🫷 e15-0-leftwards-pushing-hand
🫸 e15-0-rightwards-pushing-hand
👌 e0-6-ok-hand
🤌 e13-0-pinched-fingers
🤏 e12-0-pinching-hand
✌️ e0-6-victory-hand
✌🏻 e1-0-victory-hand-light-skin-tone
✌🏼 e1-0-victory-hand-medium-light-skin-tone
✌🏽 e1-0-victory-hand-medium-skin-tone
✌🏾 e1-0-victory-hand-medium-dark-skin-tone
✌🏿 e1-0-victory-hand-dark-skin-tone
🤞 e3-0-crossed-fingers
🫰 e14-0-hand-with-index-finger-and-thumb-crossed
🤟 e5-0-love-you-gesture
🤘 e1-0-sign-of-the-horns
🤙 e3-0-call-me-hand
👈 e0-6-backhand-index-pointing-left
👉 e0-6-backhand-index-pointing-right
👆 e0-6-backhand-index-pointing-up
🖕 e1-0-middle-finger
👇 e0-6-backhand-index-pointing-down
☝️ e0-6-index-pointing-up
☝🏻 e1-0-index-pointing-up-light-skin-tone
☝🏼 e1-0-index-pointing-up-medium-light-skin-tone
☝🏽 e1-0-index-pointing-up-medium-skin-tone
☝🏾 e1-0-index-pointing-up-medium-dark-skin-tone
☝🏿 e1-0-index-pointing-up-dark-skin-tone
🫵 e14-0-index-pointing-at-the-viewer
👍 e0-6-thumbs-up
👎 e0-6-thumbs-down
✊ e0-6-raised-fist
👊 e0-6-oncoming-fist
🤛 e3-0-left-facing-fist
🤜 e3-0-right-facing-fist
👏 e0-6-clapping-hands
🙌 e0-6-raising-hands
🫶 e14-0-heart-hands
👐 e0-6-open-hands
🤲 e5-0-palms-up-together
🤝 e3-0-handshake
🫱🏻‍🫲🏼 e14-0-handshake-light-skin-tone-medium-light-skin-tone
🙏 e0-6-folded-hands
✍️ e0-7-writing-hand
✍🏻 e1-0-writing-hand-light-skin-tone
✍🏼 e1-0-writing-hand-medium-light-skin-tone
✍🏽 e1-0-writing-hand-medium-skin-tone
✍🏾 e1-0-writing-hand-medium-dark-skin-tone
✍🏿 e1-0-writing-hand-dark-skin-tone
💅 e0-6-nail-polish
🤳 e3-0-selfie
💪 e0-6-flexed-biceps
🦾 e12-0-mechanical-arm
🦿 e12-0-mechanical-leg
🦵 e11-0-leg
🦶 e11-0-foot
👂 e0-6-ear
🦻 e12-0-ear-with-hearing-aid
👃 e0-6-nose
🧠 e5-0-brain
🫀 e13-0-anatomical-heart
🫁 e13-0-lungs
🦷 e11-0-tooth
🦴 e11-0-bone
👀 e0-6-eyes
👁️ e0-7-eye
👅 e0-6-tongue
👄 e0-6-mouth
🫦 e14-0-biting-lip
👶 e0-6-baby
🧒 e5-0-child
👦 e0-6-boy
👧 e0-6-girl
🧑 e5-0-person
👱 e0-6-person-blond-hair
👨 e0-6-man
🧔 e5-0-person-beard
👨‍🦰 e11-0-man-red-hair
👩 e0-6-woman
